Pokemon,Move,Accuracy,BasePower,Category,PP,Priority,CritRatio,Target,Type
blacephalon,facade,100,70,Physical,20,0,1,normal,Normal
zeraora,facade,100,70,Physical,20,0,1,normal,Normal
meltan,facade,100,70,Physical,20,0,1,normal,Normal
melmetal,facade,100,70,Physical,20,0,1,normal,Normal
grookey,facade,100,70,Physical,20,0,1,normal,Normal
thwackey,facade,100,70,Physical,20,0,1,normal,Normal
rillaboom,facade,100,70,Physical,20,0,1,normal,Normal
scorbunny,facade,100,70,Physical,20,0,1,normal,Normal
raboot,facade,100,70,Physical,20,0,1,normal,Normal
cinderace,facade,100,70,Physical,20,0,1,normal,Normal
sobble,facade,100,70,Physical,20,0,1,normal,Normal
drizzile,facade,100,70,Physical,20,0,1,normal,Normal
inteleon,facade,100,70,Physical,20,0,1,normal,Normal
skwovet,facade,100,70,Physical,20,0,1,normal,Normal
greedent,facade,100,70,Physical,20,0,1,normal,Normal
rookidee,facade,100,70,Physical,20,0,1,normal,Normal
corvisquire,facade,100,70,Physical,20,0,1,normal,Normal
corviknight,facade,100,70,Physical,20,0,1,normal,Normal
dottler,facade,100,70,Physical,20,0,1,normal,Normal
orbeetle,facade,100,70,Physical,20,0,1,normal,Normal
nickit,facade,100,70,Physical,20,0,1,normal,Normal
thievul,facade,100,70,Physical,20,0,1,normal,Normal
gossifleur,facade,100,70,Physical,20,0,1,normal,Normal
eldegoss,facade,100,70,Physical,20,0,1,normal,Normal
wooloo,facade,100,70,Physical,20,0,1,normal,Normal
dubwool,facade,100,70,Physical,20,0,1,normal,Normal
chewtle,facade,100,70,Physical,20,0,1,normal,Normal
drednaw,facade,100,70,Physical,20,0,1,normal,Normal
yamper,facade,100,70,Physical,20,0,1,normal,Normal
boltund,facade,100,70,Physical,20,0,1,normal,Normal
rolycoly,facade,100,70,Physical,20,0,1,normal,Normal
carkol,facade,100,70,Physical,20,0,1,normal,Normal
coalossal,facade,100,70,Physical,20,0,1,normal,Normal
flapple,facade,100,70,Physical,20,0,1,normal,Normal
appletun,facade,100,70,Physical,20,0,1,normal,Normal
silicobra,facade,100,70,Physical,20,0,1,normal,Normal
sandaconda,facade,100,70,Physical,20,0,1,normal,Normal
cramorant,facade,100,70,Physical,20,0,1,normal,Normal
arrokuda,facade,100,70,Physical,20,0,1,normal,Normal
barraskewda,facade,100,70,Physical,20,0,1,normal,Normal
toxel,facade,100,70,Physical,20,0,1,normal,Normal
toxtricity,facade,100,70,Physical,20,0,1,normal,Normal
toxtricity-low-key,facade,100,70,Physical,20,0,1,normal,Normal
sizzlipede,facade,100,70,Physical,20,0,1,normal,Normal
centiskorch,facade,100,70,Physical,20,0,1,normal,Normal
clobbopus,facade,100,70,Physical,20,0,1,normal,Normal
grapploct,facade,100,70,Physical,20,0,1,normal,Normal
sinistea,facade,100,70,Physical,20,0,1,normal,Normal
sinistea-antique,facade,100,70,Physical,20,0,1,normal,Normal
polteageist,facade,100,70,Physical,20,0,1,normal,Normal
hatenna,facade,100,70,Physical,20,0,1,normal,Normal
hattrem,facade,100,70,Physical,20,0,1,normal,Normal
hatterene,facade,100,70,Physical,20,0,1,normal,Normal
impidimp,facade,100,70,Physical,20,0,1,normal,Normal
morgrem,facade,100,70,Physical,20,0,1,normal,Normal
grimmsnarl,facade,100,70,Physical,20,0,1,normal,Normal
obstagoon,facade,100,70,Physical,20,0,1,normal,Normal
perrserker,facade,100,70,Physical,20,0,1,normal,Normal
cursola,facade,100,70,Physical,20,0,1,normal,Normal
sirfetch’d,facade,100,70,Physical,20,0,1,normal,Normal
mr. rime,facade,100,70,Physical,20,0,1,normal,Normal
runerigus,facade,100,70,Physical,20,0,1,normal,Normal
milcery,facade,100,70,Physical,20,0,1,normal,Normal
alcremie,facade,100,70,Physical,20,0,1,normal,Normal
falinks,facade,100,70,Physical,20,0,1,normal,Normal
pincurchin,facade,100,70,Physical,20,0,1,normal,Normal
snom,facade,100,70,Physical,20,0,1,normal,Normal
frosmoth,facade,100,70,Physical,20,0,1,normal,Normal
stonjourner,facade,100,70,Physical,20,0,1,normal,Normal
eiscue,facade,100,70,Physical,20,0,1,normal,Normal
indeedee,facade,100,70,Physical,20,0,1,normal,Normal
indeedee-f,facade,100,70,Physical,20,0,1,normal,Normal
morpeko,facade,100,70,Physical,20,0,1,normal,Normal
cufant,facade,100,70,Physical,20,0,1,normal,Normal
copperajah,facade,100,70,Physical,20,0,1,normal,Normal
dracozolt,facade,100,70,Physical,20,0,1,normal,Normal
arctozolt,facade,100,70,Physical,20,0,1,normal,Normal
dracovish,facade,100,70,Physical,20,0,1,normal,Normal
arctovish,facade,100,70,Physical,20,0,1,normal,Normal
duraludon,facade,100,70,Physical,20,0,1,normal,Normal
dreepy,facade,100,70,Physical,20,0,1,normal,Normal
drakloak,facade,100,70,Physical,20,0,1,normal,Normal
dragapult,facade,100,70,Physical,20,0,1,normal,Normal
zacian,facade,100,70,Physical,20,0,1,normal,Normal
zamazenta,facade,100,70,Physical,20,0,1,normal,Normal
eternatus,facade,100,70,Physical,20,0,1,normal,Normal
kubfu,facade,100,70,Physical,20,0,1,normal,Normal
urshifu,facade,100,70,Physical,20,0,1,normal,Normal
urshifu-rapid-strike,facade,100,70,Physical,20,0,1,normal,Normal
zarude,facade,100,70,Physical,20,0,1,normal,Normal
zarude-dada,facade,100,70,Physical,20,0,1,normal,Normal
regieleki,facade,100,70,Physical,20,0,1,normal,Normal
regidrago,facade,100,70,Physical,20,0,1,normal,Normal
glastrier,facade,100,70,Physical,20,0,1,normal,Normal
spectrier,facade,100,70,Physical,20,0,1,normal,Normal
calyrex,facade,100,70,Physical,20,0,1,normal,Normal
calyrex-ice,facade,100,70,Physical,20,0,1,normal,Normal
calyrex-shadow,facade,100,70,Physical,20,0,1,normal,Normal
wyrdeer,facade,100,70,Physical,20,0,1,normal,Normal
kleavor,facade,100,70,Physical,20,0,1,normal,Normal
ursaluna,facade,100,70,Physical,20,0,1,normal,Normal
ursaluna-bloodmoon,facade,100,70,Physical,20,0,1,normal,Normal
basculegion,facade,100,70,Physical,20,0,1,normal,Normal
basculegion-f,facade,100,70,Physical,20,0,1,normal,Normal
sneasler,facade,100,70,Physical,20,0,1,normal,Normal
overqwil,facade,100,70,Physical,20,0,1,normal,Normal
enamorus,facade,100,70,Physical,20,0,1,normal,Normal
enamorus-therian,facade,100,70,Physical,20,0,1,normal,Normal
sprigatito,facade,100,70,Physical,20,0,1,normal,Normal
floragato,facade,100,70,Physical,20,0,1,normal,Normal
meowscarada,facade,100,70,Physical,20,0,1,normal,Normal
fuecoco,facade,100,70,Physical,20,0,1,normal,Normal
crocalor,facade,100,70,Physical,20,0,1,normal,Normal
skeledirge,facade,100,70,Physical,20,0,1,normal,Normal
quaxly,facade,100,70,Physical,20,0,1,normal,Normal
quaxwell,facade,100,70,Physical,20,0,1,normal,Normal
quaquaval,facade,100,70,Physical,20,0,1,normal,Normal
lechonk,facade,100,70,Physical,20,0,1,normal,Normal
oinkologne,facade,100,70,Physical,20,0,1,normal,Normal
oinkologne-f,facade,100,70,Physical,20,0,1,normal,Normal
tarountula,facade,100,70,Physical,20,0,1,normal,Normal
spidops,facade,100,70,Physical,20,0,1,normal,Normal
nymble,facade,100,70,Physical,20,0,1,normal,Normal
lokix,facade,100,70,Physical,20,0,1,normal,Normal
pawmi,facade,100,70,Physical,20,0,1,normal,Normal
pawmo,facade,100,70,Physical,20,0,1,normal,Normal
pawmot,facade,100,70,Physical,20,0,1,normal,Normal
tandemaus,facade,100,70,Physical,20,0,1,normal,Normal
maushold,facade,100,70,Physical,20,0,1,normal,Normal
fidough,facade,100,70,Physical,20,0,1,normal,Normal
dachsbun,facade,100,70,Physical,20,0,1,normal,Normal
smoliv,facade,100,70,Physical,20,0,1,normal,Normal
dolliv,facade,100,70,Physical,20,0,1,normal,Normal
arboliva,facade,100,70,Physical,20,0,1,normal,Normal
squawkabilly,facade,100,70,Physical,20,0,1,normal,Normal
nacli,facade,100,70,Physical,20,0,1,normal,Normal
naclstack,facade,100,70,Physical,20,0,1,normal,Normal
garganacl,facade,100,70,Physical,20,0,1,normal,Normal
charcadet,facade,100,70,Physical,20,0,1,normal,Normal
armarouge,facade,100,70,Physical,20,0,1,normal,Normal
ceruledge,facade,100,70,Physical,20,0,1,normal,Normal
wattrel,facade,100,70,Physical,20,0,1,normal,Normal
kilowattrel,facade,100,70,Physical,20,0,1,normal,Normal
maschiff,facade,100,70,Physical,20,0,1,normal,Normal
mabosstiff,facade,100,70,Physical,20,0,1,normal,Normal
shroodle,facade,100,70,Physical,20,0,1,normal,Normal
grafaiai,facade,100,70,Physical,20,0,1,normal,Normal
bramblin,facade,100,70,Physical,20,0,1,normal,Normal
brambleghast,facade,100,70,Physical,20,0,1,normal,Normal
klawf,facade,100,70,Physical,20,0,1,normal,Normal
capsakid,facade,100,70,Physical,20,0,1,normal,Normal
scovillain,facade,100,70,Physical,20,0,1,normal,Normal
rellor,facade,100,70,Physical,20,0,1,normal,Normal
rabsca,facade,100,70,Physical,20,0,1,normal,Normal
flittle,facade,100,70,Physical,20,0,1,normal,Normal
espathra,facade,100,70,Physical,20,0,1,normal,Normal
tinkatink,facade,100,70,Physical,20,0,1,normal,Normal
tinkatuff,facade,100,70,Physical,20,0,1,normal,Normal
tinkaton,facade,100,70,Physical,20,0,1,normal,Normal
wiglett,facade,100,70,Physical,20,0,1,normal,Normal
wugtrio,facade,100,70,Physical,20,0,1,normal,Normal
bombirdier,facade,100,70,Physical,20,0,1,normal,Normal
finizen,facade,100,70,Physical,20,0,1,normal,Normal
palafin,facade,100,70,Physical,20,0,1,normal,Normal
varoom,facade,100,70,Physical,20,0,1,normal,Normal
revavroom,facade,100,70,Physical,20,0,1,normal,Normal
cyclizar,facade,100,70,Physical,20,0,1,normal,Normal
orthworm,facade,100,70,Physical,20,0,1,normal,Normal
glimmet,facade,100,70,Physical,20,0,1,normal,Normal
glimmora,facade,100,70,Physical,20,0,1,normal,Normal
greavard,facade,100,70,Physical,20,0,1,normal,Normal
houndstone,facade,100,70,Physical,20,0,1,normal,Normal
flamigo,facade,100,70,Physical,20,0,1,normal,Normal
cetoddle,facade,100,70,Physical,20,0,1,normal,Normal
cetitan,facade,100,70,Physical,20,0,1,normal,Normal
dondozo,facade,100,70,Physical,20,0,1,normal,Normal
tatsugiri,facade,100,70,Physical,20,0,1,normal,Normal
annihilape,facade,100,70,Physical,20,0,1,normal,Normal
clodsire,facade,100,70,Physical,20,0,1,normal,Normal
farigiraf,facade,100,70,Physical,20,0,1,normal,Normal
dudunsparce,facade,100,70,Physical,20,0,1,normal,Normal
kingambit,facade,100,70,Physical,20,0,1,normal,Normal
great tusk,facade,100,70,Physical,20,0,1,normal,Normal
scream tail,facade,100,70,Physical,20,0,1,normal,Normal
brute bonnet,facade,100,70,Physical,20,0,1,normal,Normal
slither wing,facade,100,70,Physical,20,0,1,normal,Normal
sandy shocks,facade,100,70,Physical,20,0,1,normal,Normal
iron treads,facade,100,70,Physical,20,0,1,normal,Normal
iron bundle,facade,100,70,Physical,20,0,1,normal,Normal
iron hands,facade,100,70,Physical,20,0,1,normal,Normal
iron jugulis,facade,100,70,Physical,20,0,1,normal,Normal
iron moth,facade,100,70,Physical,20,0,1,normal,Normal
iron thorns,facade,100,70,Physical,20,0,1,normal,Normal
frigibax,facade,100,70,Physical,20,0,1,normal,Normal
arctibax,facade,100,70,Physical,20,0,1,normal,Normal
baxcalibur,facade,100,70,Physical,20,0,1,normal,Normal
wo-chien,facade,100,70,Physical,20,0,1,normal,Normal
chien-pao,facade,100,70,Physical,20,0,1,normal,Normal
ting-lu,facade,100,70,Physical,20,0,1,normal,Normal
chi-yu,facade,100,70,Physical,20,0,1,normal,Normal
roaring moon,facade,100,70,Physical,20,0,1,normal,Normal
koraidon,facade,100,70,Physical,20,0,1,normal,Normal
miraidon,facade,100,70,Physical,20,0,1,normal,Normal
walking wake,facade,100,70,Physical,20,0,1,normal,Normal
iron leaves,facade,100,70,Physical,20,0,1,normal,Normal
dipplin,facade,100,70,Physical,20,0,1,normal,Normal
okidogi,facade,100,70,Physical,20,0,1,normal,Normal
munkidori,facade,100,70,Physical,20,0,1,normal,Normal
fezandipiti,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-wellspring,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-hearthflame,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-cornerstone,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-teal-tera,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-wellspring-tera,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-hearthflame-tera,facade,100,70,Physical,20,0,1,normal,Normal
ogerpon-cornerstone-tera,facade,100,70,Physical,20,0,1,normal,Normal
archaludon,facade,100,70,Physical,20,0,1,normal,Normal
hydrapple,facade,100,70,Physical,20,0,1,normal,Normal
gouging fire,facade,100,70,Physical,20,0,1,normal,Normal
raging bolt,facade,100,70,Physical,20,0,1,normal,Normal
iron boulder,facade,100,70,Physical,20,0,1,normal,Normal
iron crown,facade,100,70,Physical,20,0,1,normal,Normal
terapagos,facade,100,70,Physical,20,0,1,normal,Normal
terapagos-terastal,facade,100,70,Physical,20,0,1,normal,Normal
terapagos-stellar,facade,100,70,Physical,20,0,1,normal,Normal
bulbasaur,rest,TRUE,0,Status,5,0,1,self,Psychic
ivysaur,rest,TRUE,0,Status,5,0,1,self,Psychic
venusaur,rest,TRUE,0,Status,5,0,1,self,Psychic
charmander,rest,TRUE,0,Status,5,0,1,self,Psychic
charmeleon,rest,TRUE,0,Status,5,0,1,self,Psychic
charizard,rest,TRUE,0,Status,5,0,1,self,Psychic
squirtle,rest,TRUE,0,Status,5,0,1,self,Psychic
wartortle,rest,TRUE,0,Status,5,0,1,self,Psychic
blastoise,rest,TRUE,0,Status,5,0,1,self,Psychic
butterfree,rest,TRUE,0,Status,5,0,1,self,Psychic
beedrill,rest,TRUE,0,Status,5,0,1,self,Psychic
pidgey,rest,TRUE,0,Status,5,0,1,self,Psychic
pidgeotto,rest,TRUE,0,Status,5,0,1,self,Psychic
pidgeot,rest,TRUE,0,Status,5,0,1,self,Psychic
rattata,rest,TRUE,0,Status,5,0,1,self,Psychic
rattata-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
raticate,rest,TRUE,0,Status,5,0,1,self,Psychic
raticate-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
spearow,rest,TRUE,0,Status,5,0,1,self,Psychic
fearow,rest,TRUE,0,Status,5,0,1,self,Psychic
ekans,rest,TRUE,0,Status,5,0,1,self,Psychic
arbok,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-cosplay,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-original,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-hoenn,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-sinnoh,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-unova,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-kalos,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-partner,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-starter,rest,TRUE,0,Status,5,0,1,self,Psychic
pikachu-world,rest,TRUE,0,Status,5,0,1,self,Psychic
raichu,rest,TRUE,0,Status,5,0,1,self,Psychic
raichu-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
sandshrew,rest,TRUE,0,Status,5,0,1,self,Psychic
sandshrew-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
sandslash,rest,TRUE,0,Status,5,0,1,self,Psychic
sandslash-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
nidoran-f,rest,TRUE,0,Status,5,0,1,self,Psychic
nidorina,rest,TRUE,0,Status,5,0,1,self,Psychic
nidoqueen,rest,TRUE,0,Status,5,0,1,self,Psychic
nidoran-m,rest,TRUE,0,Status,5,0,1,self,Psychic
nidorino,rest,TRUE,0,Status,5,0,1,self,Psychic
nidoking,rest,TRUE,0,Status,5,0,1,self,Psychic
clefairy,rest,TRUE,0,Status,5,0,1,self,Psychic
clefable,rest,TRUE,0,Status,5,0,1,self,Psychic
vulpix,rest,TRUE,0,Status,5,0,1,self,Psychic
vulpix-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
ninetales,rest,TRUE,0,Status,5,0,1,self,Psychic
ninetales-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
jigglypuff,rest,TRUE,0,Status,5,0,1,self,Psychic
wigglytuff,rest,TRUE,0,Status,5,0,1,self,Psychic
zubat,rest,TRUE,0,Status,5,0,1,self,Psychic
golbat,rest,TRUE,0,Status,5,0,1,self,Psychic
oddish,rest,TRUE,0,Status,5,0,1,self,Psychic
gloom,rest,TRUE,0,Status,5,0,1,self,Psychic
vileplume,rest,TRUE,0,Status,5,0,1,self,Psychic
paras,rest,TRUE,0,Status,5,0,1,self,Psychic
parasect,rest,TRUE,0,Status,5,0,1,self,Psychic
venonat,rest,TRUE,0,Status,5,0,1,self,Psychic
venomoth,rest,TRUE,0,Status,5,0,1,self,Psychic
diglett,rest,TRUE,0,Status,5,0,1,self,Psychic
diglett-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
dugtrio,rest,TRUE,0,Status,5,0,1,self,Psychic
dugtrio-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
meowth,rest,TRUE,0,Status,5,0,1,self,Psychic
meowth-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
meowth-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
persian,rest,TRUE,0,Status,5,0,1,self,Psychic
persian-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
psyduck,rest,TRUE,0,Status,5,0,1,self,Psychic
golduck,rest,TRUE,0,Status,5,0,1,self,Psychic
mankey,rest,TRUE,0,Status,5,0,1,self,Psychic
primeape,rest,TRUE,0,Status,5,0,1,self,Psychic
growlithe,rest,TRUE,0,Status,5,0,1,self,Psychic
growlithe-hisui,rest,TRUE,0,Status,5,0,1,self,Psychic
arcanine,rest,TRUE,0,Status,5,0,1,self,Psychic
arcanine-hisui,rest,TRUE,0,Status,5,0,1,self,Psychic
poliwag,rest,TRUE,0,Status,5,0,1,self,Psychic
poliwhirl,rest,TRUE,0,Status,5,0,1,self,Psychic
poliwrath,rest,TRUE,0,Status,5,0,1,self,Psychic
abra,rest,TRUE,0,Status,5,0,1,self,Psychic
kadabra,rest,TRUE,0,Status,5,0,1,self,Psychic
alakazam,rest,TRUE,0,Status,5,0,1,self,Psychic
machop,rest,TRUE,0,Status,5,0,1,self,Psychic
machoke,rest,TRUE,0,Status,5,0,1,self,Psychic
machamp,rest,TRUE,0,Status,5,0,1,self,Psychic
bellsprout,rest,TRUE,0,Status,5,0,1,self,Psychic
weepinbell,rest,TRUE,0,Status,5,0,1,self,Psychic
victreebel,rest,TRUE,0,Status,5,0,1,self,Psychic
tentacool,rest,TRUE,0,Status,5,0,1,self,Psychic
tentacruel,rest,TRUE,0,Status,5,0,1,self,Psychic
geodude,rest,TRUE,0,Status,5,0,1,self,Psychic
geodude-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
graveler,rest,TRUE,0,Status,5,0,1,self,Psychic
graveler-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
golem,rest,TRUE,0,Status,5,0,1,self,Psychic
golem-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
ponyta,rest,TRUE,0,Status,5,0,1,self,Psychic
ponyta-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
rapidash,rest,TRUE,0,Status,5,0,1,self,Psychic
rapidash-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
slowpoke,rest,TRUE,0,Status,5,0,1,self,Psychic
slowpoke-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
slowbro,rest,TRUE,0,Status,5,0,1,self,Psychic
slowbro-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
magnemite,rest,TRUE,0,Status,5,0,1,self,Psychic
magneton,rest,TRUE,0,Status,5,0,1,self,Psychic
farfetch’d,rest,TRUE,0,Status,5,0,1,self,Psychic
farfetch’d-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
doduo,rest,TRUE,0,Status,5,0,1,self,Psychic
dodrio,rest,TRUE,0,Status,5,0,1,self,Psychic
seel,rest,TRUE,0,Status,5,0,1,self,Psychic
dewgong,rest,TRUE,0,Status,5,0,1,self,Psychic
grimer,rest,TRUE,0,Status,5,0,1,self,Psychic
grimer-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
muk,rest,TRUE,0,Status,5,0,1,self,Psychic
muk-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
shellder,rest,TRUE,0,Status,5,0,1,self,Psychic
cloyster,rest,TRUE,0,Status,5,0,1,self,Psychic
gastly,rest,TRUE,0,Status,5,0,1,self,Psychic
haunter,rest,TRUE,0,Status,5,0,1,self,Psychic
gengar,rest,TRUE,0,Status,5,0,1,self,Psychic
onix,rest,TRUE,0,Status,5,0,1,self,Psychic
drowzee,rest,TRUE,0,Status,5,0,1,self,Psychic
hypno,rest,TRUE,0,Status,5,0,1,self,Psychic
krabby,rest,TRUE,0,Status,5,0,1,self,Psychic
kingler,rest,TRUE,0,Status,5,0,1,self,Psychic
voltorb,rest,TRUE,0,Status,5,0,1,self,Psychic
voltorb-hisui,rest,TRUE,0,Status,5,0,1,self,Psychic
electrode,rest,TRUE,0,Status,5,0,1,self,Psychic
electrode-hisui,rest,TRUE,0,Status,5,0,1,self,Psychic
exeggcute,rest,TRUE,0,Status,5,0,1,self,Psychic
exeggutor,rest,TRUE,0,Status,5,0,1,self,Psychic
exeggutor-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
cubone,rest,TRUE,0,Status,5,0,1,self,Psychic
marowak,rest,TRUE,0,Status,5,0,1,self,Psychic
marowak-alola,rest,TRUE,0,Status,5,0,1,self,Psychic
hitmonlee,rest,TRUE,0,Status,5,0,1,self,Psychic
hitmonchan,rest,TRUE,0,Status,5,0,1,self,Psychic
lickitung,rest,TRUE,0,Status,5,0,1,self,Psychic
koffing,rest,TRUE,0,Status,5,0,1,self,Psychic
weezing,rest,TRUE,0,Status,5,0,1,self,Psychic
weezing-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
rhyhorn,rest,TRUE,0,Status,5,0,1,self,Psychic
rhydon,rest,TRUE,0,Status,5,0,1,self,Psychic
chansey,rest,TRUE,0,Status,5,0,1,self,Psychic
tangela,rest,TRUE,0,Status,5,0,1,self,Psychic
kangaskhan,rest,TRUE,0,Status,5,0,1,self,Psychic
horsea,rest,TRUE,0,Status,5,0,1,self,Psychic
seadra,rest,TRUE,0,Status,5,0,1,self,Psychic
goldeen,rest,TRUE,0,Status,5,0,1,self,Psychic
seaking,rest,TRUE,0,Status,5,0,1,self,Psychic
staryu,rest,TRUE,0,Status,5,0,1,self,Psychic
starmie,rest,TRUE,0,Status,5,0,1,self,Psychic
mr. mime,rest,TRUE,0,Status,5,0,1,self,Psychic
mr. mime-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
scyther,rest,TRUE,0,Status,5,0,1,self,Psychic
jynx,rest,TRUE,0,Status,5,0,1,self,Psychic
electabuzz,rest,TRUE,0,Status,5,0,1,self,Psychic
magmar,rest,TRUE,0,Status,5,0,1,self,Psychic
pinsir,rest,TRUE,0,Status,5,0,1,self,Psychic
tauros,rest,TRUE,0,Status,5,0,1,self,Psychic
tauros-paldea-combat,rest,TRUE,0,Status,5,0,1,self,Psychic
tauros-paldea-blaze,rest,TRUE,0,Status,5,0,1,self,Psychic
tauros-paldea-aqua,rest,TRUE,0,Status,5,0,1,self,Psychic
gyarados,rest,TRUE,0,Status,5,0,1,self,Psychic
lapras,rest,TRUE,0,Status,5,0,1,self,Psychic
eevee,rest,TRUE,0,Status,5,0,1,self,Psychic
eevee-starter,rest,TRUE,0,Status,5,0,1,self,Psychic
vaporeon,rest,TRUE,0,Status,5,0,1,self,Psychic
jolteon,rest,TRUE,0,Status,5,0,1,self,Psychic
flareon,rest,TRUE,0,Status,5,0,1,self,Psychic
porygon,rest,TRUE,0,Status,5,0,1,self,Psychic
omanyte,rest,TRUE,0,Status,5,0,1,self,Psychic
omastar,rest,TRUE,0,Status,5,0,1,self,Psychic
kabuto,rest,TRUE,0,Status,5,0,1,self,Psychic
kabutops,rest,TRUE,0,Status,5,0,1,self,Psychic
aerodactyl,rest,TRUE,0,Status,5,0,1,self,Psychic
snorlax,rest,TRUE,0,Status,5,0,1,self,Psychic
articuno,rest,TRUE,0,Status,5,0,1,self,Psychic
articuno-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
zapdos,rest,TRUE,0,Status,5,0,1,self,Psychic
zapdos-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
moltres,rest,TRUE,0,Status,5,0,1,self,Psychic
moltres-galar,rest,TRUE,0,Status,5,0,1,self,Psychic
dratini,rest,TRUE,0,Status,5,0,1,self,Psychic
dragonair,rest,TRUE,0,Status,5,0,1,self,Psychic
dragonite,rest,TRUE,0,Status,5,0,1,self,Psychic
mewtwo,rest,TRUE,0,Status,5,0,1,self,Psychic
mew,rest,TRUE,0,Status,5,0,1,self,Psychic
chikorita,rest,TRUE,0,Status,5,0,1,self,Psychic
bayleef,rest,TRUE,0,Status,5,0,1,self,Psychic
meganium,rest,TRUE,0,Status,5,0,1,self,Psychic
cyndaquil,rest,TRUE,0,Status,5,0,1,self,Psychic
quilava,rest,TRUE,0,Status,5,0,1,self,Psychic
typhlosion,rest,TRUE,0,Status,5,0,1,self,Psychic
typhlosion-hisui,rest,TRUE,0,Status,5,0,1,self,Psychic
totodile,rest,TRUE,0,Status,5,0,1,self,Psychic
croconaw,rest,TRUE,0,Status,5,0,1,self,Psychic
feraligatr,rest,TRUE,0,Status,5,0,1,self,Psychic
sentret,rest,TRUE,0,Status,5,0,1,self,Psychic
furret,rest,TRUE,0,Status,5,0,1,self,Psychic
hoothoot,rest,TRUE,0,Status,5,0,1,self,Psychic
noctowl,rest,TRUE,0,Status,5,0,1,self,Psychic
ledyba,rest,TRUE,0,Status,5,0,1,self,Psychic
ledian,rest,TRUE,0,Status,5,0,1,self,Psychic
spinarak,rest,TRUE,0,Status,5,0,1,self,Psychic
ariados,rest,TRUE,0,Status,5,0,1,self,Psychic
crobat,rest,TRUE,0,Status,5,0,1,self,Psychic
chinchou,rest,TRUE,0,Status,5,0,1,self,Psychic
lanturn,rest,TRUE,0,Status,5,0,1,self,Psychic
pichu,rest,TRUE,0,Status,5,0,1,self,Psychic
pichu-spiky-eared,rest,TRUE,0,Status,5,0,1,self,Psychic
cleffa,rest,TRUE,0,Status,5,0,1,self,Psychic
igglybuff,rest,TRUE,0,Status,5,0,1,self,Psychic
togepi,rest,TRUE,0,Status,5,0,1,self,Psychic
togetic,rest,TRUE,0,Status,5,0,1,self,Psychic
natu,rest,TRUE,0,Status,5,0,1,self,Psychic
xatu,rest,TRUE,0,Status,5,0,1,self,Psychic
mareep,rest,TRUE,0,Status,5,0,1,self,Psychic
flaaffy,rest,TRUE,0,Status,5,0,1,self,Psychic
ampharos,rest,TRUE,0,Status,5,0,1,self,Psychic
bellossom,rest,TRUE,0,Status,5,0,1,self,Psychic
marill,rest,TRUE,0,Status,5,0,1,self,Psychic
azumarill,rest,TRUE,0,Status,5,0,1,self,Psychic
sudowoodo,rest,TRUE,0,Status,5,0,1,self,Psychic
politoed,rest,TRUE,0,Status,5,0,1,self,Psychic
hoppip,rest,TRUE,0,Status,5,0,1,self,Psychic
